1,FEC_ID,STATE,STATE_ABBREVIATION,GENERAL_ELECTION_DATE,FIRST_NAME,LAST_NAME,LAST_NAME_FIRST,TOTAL_VOTES,PARTY,GENERAL_RESULTS,TOTAL_VOTES,GENERAL_PERCT,WINNER_INDICATOR
241,P20002804,Maryland,MD,11/6/2012,Roseanne,Barr,"Barr, Roseanne",,W,64,,0.00%,
242,n/a,Maryland,MD,11/6/2012,James,Clymer,"Clymer, James",,W,35,,0.00%,
243,P20004693,Maryland,MD,11/6/2012,Merlin,Miller,"Miller, Merlin",,W,26,,0.00%,
244,P20002697,Maryland,MD,11/6/2012,Andre,Barnett,"Barnett, Andre",,W,19,,0.00%,
245,P20004651,Maryland,MD,11/6/2012,Stephen,Durham,"Durham, Stephen",,W,19,,0.00%,
246,P20004750,Maryland,MD,11/6/2012,Tiffany Renee,Briscoe,"Briscoe, Tiffany Renee",,W,18,,0.00%,
247,n/a,Maryland,MD,11/6/2012,Matthew,Lydick,"Lydick, Matthew",,W,18,,0.00%,
248,P20005252,Maryland,MD,11/6/2012,Richard,Duncan,"Duncan, Richard",,W,15,,0.00%,
249,P20002580,Maryland,MD,11/6/2012,Paul,Chehade,"Chehade, Paul",,W,13,,0.00%,
250,n/a,Maryland,MD,11/6/2012,"Fred Donald, Jr.",Dickson,"Dickson, Fred Donald, Jr.",,W,8,,0.00%,
251,P20003869,Maryland,MD,11/6/2012,David M.,Crosby,"Crosby, David M.",,W,7,,0.00%,
252,P20002903,Maryland,MD,11/6/2012,Darrell,Hykes,"Hykes, Darrell",,W,7,,0.00%,
253,P20003208,Maryland,MD,11/6/2012,Jill,Reed,"Reed, Jill",,W,7,,0.00%,
254,n/a,Maryland,MD,11/6/2012,Michael David,Boyles,"Boyles, Michael David",,W,5,,0.00%,
255,n/a,Maryland,MD,11/6/2012,Nelson,Keyton,"Keyton, Nelson",,W,3,,0.00%,
256,n/a,Maryland,MD,11/6/2012,Dwight Kenneth,French,"French, Dwight Kenneth",,W,2,,0.00%,
257,P20002218,Maryland,MD,11/6/2012,Dennis,Knill,"Knill, Dennis",,W,2,,0.00%,
